Aleph system no.,Author_reconciliation_status,Author_Wikidata_label,Author_Wikidata_QID,Other_authors_structure,Other_personal_authors_clean,Author_review_status,Author_death_year,Author_birth_year,Author_name_clean,Title_clean,Country code,Language code (008),Language code (041),DDC,Personal author,Corporate author,Title,Edition,Imprint,Imprint_clean,Place_after_colon,Publisher_candidate,Publisher_standardised,Publisher_clean,Publisher_role,Place_before_colon,Publication_place_final,Place_QA_status,Place_for_Wikidata,Wikidata_QID_manual_sample,Publication_place,Publication_place_standardised,Year_end,Year_start,Year_status,Publication_year,Series,Subjects,Other personal authors,Other corporate authors,DOM ID,Type,Genre
014831472,unreconciled,,,,,unchanged,,,"VOSMAER, A., Engineer.","The Mechanical and other properties of Iron and Steel, in connection with their chemical composition.",|||,eng,,,"VOSMAER, A., Engineer.",,"The Mechanical and other properties of Iron and Steel, in connection with their chemical composition. [electronic resource]",,"London : E. & F. N. Spon, 1891.","London : E. & F. N. Spon, 1891.",E. & F. N. Spon,E. & F. N. Spon,E. & F. N. Spon,E. & F. N. Spon,Named publisher or ambiguous,London,London,Likely clean single place,London,Q84,London,London,,1891,Exact,1891,,,,,lsidyv3cca8241,opera,Music
014831486,none,,,,,unchanged,,,"W., L.","Orgula: or the fatal error. A tragedy [in five acts and in verse] composed by L. W. [i.e. Leonard Willan?] Whereunto, is annexed a preface, discovering the true nature of poesie, with the proper use and intention of such publique divertisments.",|||,und,,,"W., L.",,"Orgula: or the fatal error. A tragedy [in five acts and in verse] composed by L. W. [i.e. Leonard Willan?] Whereunto, is annexed a preface, discovering the true nature of poesie, with the proper use and intention of such publique divertisments. [electronic resource]",,"London, 1658.","London, 1658.",,,,,Missing,London,London,Likely clean single place,London,Q84,London,London,,1658,Exact,1658,,,,,lsidyv345b0135,opera,Music
014831491,none,,,,,unchanged,,,"W., R. E. E.","[Hunting songs, ballads, etc. By R. E. E. W - Esq. With illustrations.]",|||,und,,,"W., R. E. E.",,"[Hunting songs, ballads, etc. By R. E. E. W - Esq. With illustrations.] [electronic resource]",,,,,,,,Missing,,,Missing,,,,,,,Missing,,,,,,lsidyv345e303d,song,Music
014831504,none,,,,,unchanged,,,"WAGNER, Leopold, Miscellaneous Writer.","Newest and best songs of the day. A collection of new and copyright song-words. (The best book of modern songs, etc.-All the new comic songs, etc.) Selected by L. W.",|||,und,,,"WAGNER, Leopold, Miscellaneous Writer.",,"Newest and best songs of the day. A collection of new and copyright song-words. (The best book of modern songs, etc.-All the new comic songs, etc.) Selected by L. W. [electronic resource]",,"London : Cameron, Ferguson & Co., 1889.","London : Cameron, Ferguson & Co., 1889.","Cameron, Ferguson & Co.","Cameron, Ferguson & Co.","Cameron, Ferguson & Co.","Cameron, Ferguson & Co.",Named publisher or ambiguous,London,London,Likely clean single place,London,Q84,London,London,,1889,Exact,1889,,,,,lsidyv341da26b,song,Music
014831790,none,,,single or unclear,"CARTER, Andrew.",unchanged,,,"WATT, Francis, and CARTER (Andrew)","Picturesque Scotland, its romantic scenes and historical associations, described in lay and legend, song and story ... Illustrated, etc.",|||,eng,,,"WATT, Francis, and CARTER (Andrew)",,"Picturesque Scotland, its romantic scenes and historical associations, described in lay and legend, song and story ... Illustrated, etc. [electronic resource]",,"London : J. Sangster and Co., [1887]","London : J. Sangster and Co., [1887]",J. Sangster and Co.,J. Sangster and Co.,J. Sangster and Co.,J. Sangster and Co.,Named publisher or ambiguous,London,London,Likely clean single place,London,Q84,London,London,,1887,Supplied,1887,,,"CARTER, Andrew.",,lsidyv2ade33af,song,Music
014831809,matched,Frederic Weatherly,Q5497166,,,standardised,1929,1848,"Weatherly, F. E. (Frederic Edward)",Songs and Echoes ... Illustrated by E. Barnard.,|||,und,,,"Weatherly, F. E. (Frederic Edward), 1848-1929.",,Songs and Echoes ... Illustrated by E. Barnard. [electronic resource],,"London; Saxony printed : Raphael Tuck & Sons, [1893.].","London; Saxony printed : Raphael Tuck & Sons, [1893.].",Raphael Tuck & Sons,Raphael Tuck & Sons,Raphael Tuck & Sons,Raphael Tuck & Sons,Named publisher or ambiguous,London; Saxony printed,London; Saxony,Multiple places,London; Saxony,,Raphael Tuck & Sons,Raphael Tuck & Sons,,1893,Supplied,1893,,,,,lsidyv39449be9,song,Music
014831853,none,,,,,unchanged,,,"WEIR, W. G.","The Huntress of Glenfinnart, with other legendary poems and songs. (Notes.).",|||,und,,,"WEIR, W. G.",,"The Huntress of Glenfinnart, with other legendary poems and songs. (Notes.). [electronic resource]",,"Greenock, 1825.","Greenock, 1825.",,,,,Missing,Greenock,Greenock,Likely clean single place,Greenock,,Greenock,Greenock,,1825,Exact,1825,,,,,lsidyv338b5119,song,Music
014831945,matched,William Percival Westell,Q43569763,,,unchanged,,,"WESTELL, William Percival.","The Songs of a Nature Lover ... Second edition [of “Nature Poems”], containing over one hundred new poems.",|||,und,,,"WESTELL, William Percival.",,"The Songs of a Nature Lover ... Second edition [of “Nature Poems”], containing over one hundred new poems. [electronic resource]",,"pp. 221. Drane's: London, [1925.]","pp. 221. Drane's : London, [1925.]",London,London,London,London,Named publisher or ambiguous,pp. 221. Drane's,pp. 221. Drane's,Likely clean single place,pp. 221. Drane's,,pp. 221. Drane's,pp. 221. Drane's,,1925,Supplied,1925,,,,,lsidyv395eee4e,song,Music
014831965,none,,,,,unchanged,,,"WHACK, Paddy.","P. W.s Bottle Companion; a collection of convivial songs, etc.",|||,und,,,"WHACK, Paddy.",,"P. W.s Bottle Companion; a collection of convivial songs, etc. [electronic resource]",,"London, 1791.","London, 1791.",,,,,Missing,London,London,Likely clean single place,London,Q84,London,London,,1791,Exact,1791,,,,,lsidyv338a96d9,song,Music
014832074,matched,Wilfred Whitten,Q8001901,,,unchanged,,,"WHITTEN, Wilfred.",London in Song. Compiled by W. Whitten.,|||,und,,,"WHITTEN, Wilfred.",,London in Song. Compiled by W. Whitten. [electronic resource],,"London : Grant Richards, [1898.].","London : Grant Richards, [1898.].",Grant Richards,Grant Richards,Grant Richards,Grant Richards,Named publisher or ambiguous,London,London,Likely clean single place,London,Q84,London,London,,1898,Supplied,1898,,,,,lsidyv32dc506c,song,Music
