Aleph system no.,Author_reconciliation_status,Author_Wikidata_label,Author_Wikidata_QID,Other_authors_structure,Other_personal_authors_clean,Author_review_status,Author_death_year,Author_birth_year,Author_name_clean,Title_clean,Country code,Language code (008),Language code (041),DDC,Personal author,Corporate author,Title,Edition,Imprint,Imprint_clean,Place_after_colon,Publisher_candidate,Publisher_standardised,Publisher_clean,Publisher_role,Place_before_colon,Publication_place_final,Place_QA_status,Place_for_Wikidata,Wikidata_QID_manual_sample,Publication_place,Publication_place_standardised,Year_end,Year_start,Year_status,Publication_year,Series,Subjects,Other personal authors,Other corporate authors,DOM ID,Type,Genre
014812060,matched,Alfred Perceval Graves,Q3611298,,,standardised,1931,1846,"Graves, Alfred Perceval",Irish Songs and Ballads.,|||,und,,,"Graves, Alfred Perceval, 1846-1931.",,Irish Songs and Ballads. [electronic resource],,"Manchester : A. Ireland & Co., 1880.","Manchester : A. Ireland & Co., 1880.",A. Ireland & Co.,A. Ireland & Co.,A. Ireland & Co.,A. Ireland & Co.,Named publisher or ambiguous,Manchester,Manchester,Likely clean single place,Manchester,,Manchester,Manchester,,1880,Exact,1880,,,,,lsidyv34265128,song,Music
014812535,unreconciled,,,,,unchanged,,,"HALL, Christopher Newman.",Songs of Earth and Heaven.,|||,und,,,"HALL, Christopher Newman.",,Songs of Earth and Heaven. [electronic resource],,"London : Hodder & Stoughton, 1885.","London : Hodder & Stoughton, 1885.",Hodder & Stoughton,Hodder & Stoughton,Hodder & Stoughton,Hodder & Stoughton,Named publisher or ambiguous,London,London,Likely clean single place,London,Q84,London,London,,1885,Exact,1885,,,,,lsidyv3aa0969a,song,Music
014812548,none,,,,,unchanged,,,"HALL, Jessie.",Nursery Songs. [Edited and] illustrated by J. Hall.,|||,und,,,"HALL, Jessie.",,Nursery Songs. [Edited and] illustrated by J. Hall. [electronic resource],,"London : Marcus Ward & Co., [1893.].","London : Marcus Ward & Co., [1893.].",Marcus Ward & Co.,Marcus Ward & Co.,Marcus Ward & Co.,Marcus Ward & Co.,Named publisher or ambiguous,London,London,Likely clean single place,London,Q84,London,London,,1893,Supplied,1893,,,,,lsidyv347397d2,song,Music
014812670,unreconciled,,,single or unclear,"EDWARDS, David Herschell.",unchanged,,,"HARDIE, John, Gardener.","Sprays from the Garden: poems, songs and prose sketches ... With introduction by D. H. Edwards.",|||,und,,,"HARDIE, John, Gardener.",,"Sprays from the Garden: poems, songs and prose sketches ... With introduction by D. H. Edwards. [electronic resource]",,"Brechin : -152. D. H. Edwards, 1898.","Brechin : -152. D. H. Edwards, 1898.",-152. D. H. Edwards,-152. D. H. Edwards,-152. D. H. Edwards,D. H. Edwards,Named publisher or ambiguous,Brechin,Brechin,Likely clean single place,Brechin,,Brechin,Brechin,,1898,Exact,1898,,,"EDWARDS, David Herschell.",,lsidyv32c3db32,song,Music
014812750,none,,,,,unchanged,,,"HARGROVE, George.","An account of the Islands of Walcheren and South Beveland ... describing the ... operations of His Majesty's army during the siege of Flushing, etc.",|||,eng,,,"HARGROVE, George.",,"An account of the Islands of Walcheren and South Beveland ... describing the ... operations of His Majesty's army during the siege of Flushing, etc. [electronic resource]",,"Dublin, 1812.","Dublin, 1812.",,,,,Missing,Dublin,Dublin,Likely clean single place,Dublin,Q1761,Dublin,Dublin,,1812,Exact,1812,,,,,lsidyv3bc3a0a4,opera,Music
014812758,none,,,,,unchanged,,,"HARLAND, John, Antiquary.","Ballads and Songs of Lancashire chiefly older than the 19th Century. Collected, compiled, and edited, with notes, by J. H., etc. L.P.",|||,und,,,"HARLAND, John, Antiquary.",,"Ballads and Songs of Lancashire chiefly older than the 19th Century. Collected, compiled, and edited, with notes, by J. H., etc. L.P. [electronic resource]",,"London, Edinburgh [printed], 1865.","London, Edinburgh [printed], 1865.",,,,,Missing,"London, Edinburgh [printed]","London, Edinburgh",Review: comma-separated,"London, Edinburgh",,"London, Edinburgh [printed","London, Edinburgh [printed",,1865,Exact,1865,,,,,lsidyv34727f84,song,Music
014812761,none,,,,,unchanged,,,"Harley, Cecil.",The Shadow of a Song. [A novel.],|||,eng,,,"Harley, Cecil.",,The Shadow of a Song. [A novel.] [electronic resource],,"London : Cassell & Co., 1893.","London : Cassell & Co., 1893.",Cassell & Co.,Cassell & Co.,Cassell & Co.,Cassell & Co.,Named publisher or ambiguous,London,London,Likely clean single place,London,Q84,London,London,,1893,Exact,1893,,,,,lsidyv38e80292,song,Music
014812765,blank,,,,,missing,,,,"Harmonica; or, elegant extracts of English, Scotch, and Irish melodies, etc.",|||,und,,,,,"Harmonica; or, elegant extracts of English, Scotch, and Irish melodies, etc. [electronic resource]",,"Cork : xiii. J. Bolster, 1818.","Cork : xiii. J. Bolster, 1818.",xiii. J. Bolster,xiii. J. Bolster,xiii. J. Bolster,xiii. J. Bolster,Named publisher or ambiguous,Cork,Cork,Likely clean single place,Cork,,Cork,Cork,,1818,Exact,1818,,,,,lsidyv34204f8e -- lsidyv32b85f5d,melody,Music
014812776,none,,,multiple: dash,"Faed, John, 1819-1902. -- Faed, Thomas, 1825-1900.",unchanged,,,"HARPER, Malcolm McLachlan.","The Bards of Galloway: a collection of poems, songs, ballads, &c., by natives of Galloway. Edited, with an introduction and notes, by M. McL. Harper. Illustrated by T. Faed, ... J. Faed, ... and other Galloway Artists.",|||,und,,,"HARPER, Malcolm McLachlan.",,"The Bards of Galloway: a collection of poems, songs, ballads, &c., by natives of Galloway. Edited, with an introduction and notes, by M. McL. Harper. Illustrated by T. Faed, ... J. Faed, ... and other Galloway Artists. [electronic resource]",,"Dalbeattie; Castle-Douglas [printed] : T. Fraser, 1889.","Dalbeattie; Castle-Douglas [printed] : T. Fraser, 1889.",T. Fraser,T. Fraser,T. Fraser,T. Fraser,Named publisher or ambiguous,Dalbeattie; Castle-Douglas [printed],Dalbeattie; Castle-Douglas,Multiple places,Dalbeattie; Castle-Douglas,,T. Fraser,T. Fraser,,1889,Exact,1889,,,"Faed, John, 1819-1902. -- Faed, Thomas, 1825-1900.",,lsidyv3458179b,song,Music
014812787,none,,,,,unchanged,,,"HARRIS, John, a Cornish Miner.","Wayside Pictures, Hymns, and Poems ... With a portrait of the author.",|||,und,,,"HARRIS, John, a Cornish Miner.",,"Wayside Pictures, Hymns, and Poems ... With a portrait of the author. [electronic resource]",,"London, 1874.","London, 1874.",,,,,Missing,London,London,Likely clean single place,London,Q84,London,London,,1874,Exact,1874,,,,,lsidyv3473a6bc,hymn,Music
014812833,none,,,,,unchanged,,,"HART, Ivry.",Some Sketches and Songs.,|||,und,,,"HART, Ivry.",,Some Sketches and Songs. [electronic resource],,"Office of the “Daily News”: Port-of-Spain, 1898, etc.","Office of the “Daily News” : Port-of-Spain, 1898, etc.","Port-of-Spain, 1898, etc.","Port-of-Spain, 1898, etc.","Port-of-Spain, 1898, etc.",Port-of-Spain,Named publisher or ambiguous,Office of the “Daily News”,Office of the “Daily News”,Likely clean single place,Office of the “Daily News”,,"Port-of-Spain, 1898, etc.","Port-of-Spain, 1898, etc.",,1898,Exact,1898,,,,,lsidyv3477e81b,song,Music
014813017,blank,,,,,missing,,,,"Hearts and Voices: Songs of the Better Land. Illustrated, etc.",|||,und,,,,,"Hearts and Voices: Songs of the Better Land. Illustrated, etc. [electronic resource]",,"London : Griffith & Farran, [1891.].","London : Griffith & Farran, [1891.].",Griffith & Farran,Griffith & Farran,Griffith & Farran,Griffith & Farran,Named publisher or ambiguous,London,London,Likely clean single place,London,Q84,London,London,,1891,Supplied,1891,,,,,lsidyv3470ceac,song,Music
014813127,none,,,single or unclear,"Standish, Julian.",unchanged,,,"HENNING, Albert, Composer.","“His Wife's Little Bill.” Operetta. Written and composed by A. Henning ... The Lyrics to Nos. 3, 4, 5, 7 & 8 by J. Standish, etc.",|||,und,,,"HENNING, Albert, Composer.",,"“His Wife's Little Bill.” Operetta. Written and composed by A. Henning ... The Lyrics to Nos. 3, 4, 5, 7 & 8 by J. Standish, etc. [electronic resource]",,[1894.],[1894.],,,,,Missing,,,Missing,,,,,,1894,Supplied,1894,,,"Standish, Julian.",,lsidyv3087aee8,opera,Music
014813134,none,,,,,unchanged,,,"HENRY, J. T.","The early and later History of Petroleum, with ... facts in regard to its development in Western Pennsylvania. ... Also life sketches of pioneer and prominent operators, etc.",|||,eng,,,"HENRY, J. T.",,"The early and later History of Petroleum, with ... facts in regard to its development in Western Pennsylvania. ... Also life sketches of pioneer and prominent operators, etc. [electronic resource]",,"Philadelphia, 1873.","Philadelphia, 1873.",,,,,Missing,Philadelphia,Philadelphia,Likely clean single place,Philadelphia,,Philadelphia,Philadelphia,,1873,Exact,1873,,,,,lsidyv3ca45848,opera,Music
014813263,matched,Maurice Hewlett,Q3300924,,,standardised,1923,1861,"Hewlett, Maurice",Songs and Meditations.,|||,und,,,"Hewlett, Maurice, 1861-1923.",,Songs and Meditations. [electronic resource],,"pp. xi. 136. Constable & Co.: London, 1896.","pp. xi. 136. Constable & Co. : London, 1896.",London,London,London,London,Named publisher or ambiguous,pp. xi. 136. Constable & Co.,pp. xi. 136. Constable & Co.,Multiple places,pp. xi. 136. Constable & Co.,,London,London,,1896,Exact,1896,,,,,lsidyv3496bbe1,song,Music
014813271,none,,,,,unchanged,,,"HEYWOOD, Thomas, Dramatist.","[The Rape of Lucrece, a true Roman Tragedie [in verse]. With the severall songs in their apt places, by Valerius the merrie Lord amongst the Roman Peeres ... The fourth Impression.]",|||,und,,,"HEYWOOD, Thomas, Dramatist.",,"[The Rape of Lucrece, a true Roman Tragedie [in verse]. With the severall songs in their apt places, by Valerius the merrie Lord amongst the Roman Peeres ... The fourth Impression.] [electronic resource]",,"London : J. Raworth for N. Butter, 1638.","London : J. Raworth for N. Butter, 1638.",J. Raworth for N. Butter,J. Raworth for N. Butter,J. Raworth for N. Butter,J. Raworth for N. Butter,Named publisher or ambiguous,London,London,Likely clean single place,London,Q84,London,London,,1638,Exact,1638,,,,,lsidyv345d6488,song,Music
014813400,none,,,,,unchanged,,,"HOARE, Prince.",The Paragraph; a musical entertainment in two acts [and in prose; with songs].,|||,und,,,"HOARE, Prince.",,The Paragraph; a musical entertainment in two acts [and in prose; with songs]. [electronic resource],,"London, 1804.","London, 1804.",,,,,Missing,London,London,Likely clean single place,London,Q84,London,London,,1804,Exact,1804,,,,,lsidyv3493b229,song,Music
014813416,none,,,,,unchanged,,,"HOBDAY, Edmund Arthur Ponsonby.","Bluebeard; or, Fickle Fatima and the Fatal Key. An operatic burlesque extravaganza in 4 acts, etc.",|||,und,,,"HOBDAY, Edmund Arthur Ponsonby.",,"Bluebeard; or, Fickle Fatima and the Fatal Key. An operatic burlesque extravaganza in 4 acts, etc. [electronic resource]",,"Simla : “The Season” Press, [1888.].","Simla : “The Season” Press, [1888.].",“The Season” Press,“The Season” Press,“The Season” Press,“The Season” Press,Named publisher or ambiguous,Simla,Simla,Likely clean single place,Simla,,Simla,Simla,,1888,Supplied,1888,,,,,lsidyv34ecb662,opera,Music
014813505,matched,Thomas Holcroft,Q1114941,,,standardised,1809,1745,"Holcroft, Thomas","The Choleric Fathers: a comic opera [in three acts, in prose and verse].",|||,und,,,"Holcroft, Thomas, 1745-1809",,"The Choleric Fathers: a comic opera [in three acts, in prose and verse]. [electronic resource]",,"London, 1785.","London, 1785.",,,,,Missing,London,London,Likely clean single place,London,Q84,London,London,,1785,Exact,1785,,,,,lsidyv306874dd,opera,Music
014813619,none,,,,,unchanged,,,"Hood, Robin.","A Lytell Geste of Robin Hode, with other ancient & modern ballads and songs relating to this celebrated yeoman. To which is prefixed his history and character, grounded upon other documents than those made use of by ... “Mister Ritson.” Edited by J. M. Gutch.",|||,und,,,"Hood, Robin.",,"A Lytell Geste of Robin Hode, with other ancient & modern ballads and songs relating to this celebrated yeoman. To which is prefixed his history and character, grounded upon other documents than those made use of by ... “Mister Ritson.” Edited by J. M. Gutch. [electronic resource]",,"London : Longman, Brown, Green & Longmans, 1847.","London : Longman, Brown, Green & Longmans, 1847.","Longman, Brown, Green & Longmans","Longman, Brown, Green & Longmans","Longman, Brown, Green & Longmans","Longman, Brown, Green & Longmans",Named publisher or ambiguous,London,London,Likely clean single place,London,Q84,London,London,,1847,Exact,1847,,,,,lsidyv32d57465 -- lsidyv3395c0af,song,Music
014813620,none,,,multiple: dash,"BEWICK, John, Engraver. -- Bewick, Thomas, 1753-1828.",unchanged,,,"Hood, Robin.","Robin Hood; a collection of all the ancient poems, songs, and ballads now extant relative to that ... outlaw. To which are prefixed historical anecdotes of his life. [Edited by J. Ritson. With wood engravings by Thomas Bewick.]",enk,eng,,,"Hood, Robin.",,"Robin Hood; a collection of all the ancient poems, songs, and ballads now extant relative to that ... outlaw. To which are prefixed historical anecdotes of his life. [Edited by J. Ritson. With wood engravings by Thomas Bewick.] [electronic resource]",,"London : T. Egerton and J. Johnson, 1795.","London : T. Egerton and J. Johnson, 1795.",T. Egerton and J. Johnson,T. Egerton and J. Johnson,T. Egerton and J. Johnson,T. Egerton and J. Johnson,Named publisher or ambiguous,London,London,Likely clean single place,London,Q84,London,London,,1795,Exact,1795,,,"BEWICK, John, Engraver. -- Bewick, Thomas, 1753-1828.",,lsidyv34586a9a,song,Music
014813621,none,,,single or unclear,"Ritson, Joseph, 1752-1803.",unchanged,,,"Hood, Robin.","[Robin Hood; a collection of all the ancient poems, songs, and ballads now extant relative to that ... outlaw. To which are prefixed historical anecdotes of his life. [Edited by J. Ritson. With wood engravings by Thomas Bewick.]]",|||,und,,,"Hood, Robin.",,"[Robin Hood; a collection of all the ancient poems, songs, and ballads now extant relative to that ... outlaw. To which are prefixed historical anecdotes of his life. [Edited by J. Ritson. With wood engravings by Thomas Bewick.]] [electronic resource]",Second edition. [With appendix and glossary.],"London, 1832.","London, 1832.",,,,,Missing,London,London,Likely clean single place,London,Q84,London,London,,1832,Exact,1832,,,"Ritson, Joseph, 1752-1803.",,lsidyv346e697e,song,Music
014813635,matched,Theodore Hook,Q2117649,,,standardised,1841,1788,"Hook, Theodore Edward","The Fortress, a melo-drama, in three acts [and in prose with songs], from the French, etc.",|||,und,,,"Hook, Theodore Edward, 1788-1841.",,"The Fortress, a melo-drama, in three acts [and in prose with songs], from the French, etc. [electronic resource]",,"London, 1807.","London, 1807.",,,,,Missing,London,London,Likely clean single place,London,Q84,London,London,,1807,Exact,1807,,,,,lsidyv314ea035,song,Music
014813640,matched,Theodore Hook,Q2117649,,,standardised,1841,1788,"Hook, Theodore Edward",Safe and Sound; an opera in three acts [in prose and in verse].,|||,und,,,"Hook, Theodore Edward, 1788-1841.",,Safe and Sound; an opera in three acts [in prose and in verse]. [electronic resource],,"London, 1809.","London, 1809.",,,,,Missing,London,London,Likely clean single place,London,Q84,London,London,,1809,Exact,1809,,,,,lsidyv314ec922,opera,Music
014813821,none,,,,,manual review,,,"Howard, Edward, fl. 1669.","The Man of Newmarket, etc. [A comedy, in five acts and in prose, with songs.]",|||,und,,,"Howard, Edward, fl. 1669.",,"The Man of Newmarket, etc. [A comedy, in five acts and in prose, with songs.] [electronic resource]",,"London, 1678.","London, 1678.",,,,,Missing,London,London,Likely clean single place,London,Q84,London,London,,1678,Exact,1678,,,,,lsidyv345cd0c5,song,Music
014813826,matched,"Henry Howard, Earl of Surrey",Q372211,,,unchanged,,,"HOWARD, Henry, Earl of Surrey.",Songes and Sonettes.,|||,und,,,"HOWARD, Henry, Earl of Surrey.",,Songes and Sonettes. [electronic resource],,"reprinted by E. Imprinted by R. Tottell, 1567.","reprinted by E. Imprinted by R. Tottell, 1567.",,,,R. Tottell,Printer statement,reprinted by E. Imprinted by R. Tottell,,Review: imprint statement,reprinted by E. Imprinted by R. Tottell,,reprinted by E. Imprinted by R. Tottell,reprinted by E. Imprinted by R. Tottell,,1567,Exact,1567,,,,,lsidyv3abe65de,song,Music
014813971,none,,,,,unchanged,,,"HUME, Alexander, Song-Writer.","Songs and poems, chiefly Scottish ... Second edition.",|||,und,,,"HUME, Alexander, Song-Writer.",,"Songs and poems, chiefly Scottish ... Second edition. [electronic resource]",,"London : W. Smith, 1845.","London : W. Smith, 1845.",W. Smith,W. Smith,W. Smith,W. Smith,Named publisher or ambiguous,London,London,Likely clean single place,London,Q84,London,London,,1845,Exact,1845,,,,,lsidyv3a97be98,song,Music
014814004,none,,,,,unchanged,,,"HUMPHREYS, afterwards ALEXANDER, Cecil Frances.","[Moral Songs. By the author of “Hymns for Little Children,” etc. [i.e. C. F. Humphreys, afterwards Alexander.]]",|||,und,,,"HUMPHREYS, afterwards ALEXANDER, Cecil Frances.",,"[Moral Songs. By the author of “Hymns for Little Children,” etc. [i.e. C. F. Humphreys, afterwards Alexander.]] [electronic resource]",[Another edition.],"London : Masters & Co., 1880 [1879].","London : Masters & Co., 1880 [1879].","Masters & Co., 1880","Masters & Co., 1880","Masters & Co., 1880",Masters & Co.,Named publisher or ambiguous,London,London,Likely clean single place,London,Q84,London,London,,1880,Supplied,1879,,,,,lsidyv34748a44,hymn,Music
014814050,matched,William Wilson Hunter,Q724677,,,standardised,1900,1840,"Hunter, William Wilson, Sir",Guide to the Orthography of Indian Proper Names with a list showing the true spelling of all post towns and villages in India.,|||,eng,,,"Hunter, William Wilson, Sir, 1840-1900.",,Guide to the Orthography of Indian Proper Names with a list showing the true spelling of all post towns and villages in India. [electronic resource],,"Calcutta : Office of the Superintendent of Govt. Printing, 1871.","Calcutta : Office of the Superintendent of Govt. Printing, 1871.",Office of the Superintendent of Govt. Printing,Office of the Superintendent of Govt. Printing,Office of the Superintendent of Govt. Printing,Office of the Superintendent of Govt. Printing,Named publisher or ambiguous,Calcutta,Calcutta,Likely clean single place,Calcutta,,Calcutta,Calcutta,,1871,Exact,1871,,,,,lsidyv38fffbed,opera,Music
014814204,none,,,,,unchanged,,,"INNES, Henry, Teacher of Elocution.","The Rhetorical Class Book: or, the principles and practice of Elocution defined and illustrated. ... Being an exposition of the organs and the operations of speech. ... With selections from popular writers, principally of the present day, etc.",|||,und,,,"INNES, Henry, Teacher of Elocution.",,"The Rhetorical Class Book: or, the principles and practice of Elocution defined and illustrated. ... Being an exposition of the organs and the operations of speech. ... With selections from popular writers, principally of the present day, etc. [electronic resource]",,"London, 1834.","London, 1834.",,,,,Missing,London,London,Likely clean single place,London,Q84,London,London,,1834,Exact,1834,,,,,lsidyv34275189,opera,Music
014814311,matched,Catherine Cooper Hopley,Q43173507,,,unchanged,,,"J., S. L.","Life in the South; from the commencement of the war. By a blockaded British Subject [S. L. J., i.e. Catharine Cooper Hopley]. Being a social history of those who took part in the battles, ... From the spring of 1860 to August 1862.",|||,eng,,,"J., S. L.",,"Life in the South; from the commencement of the war. By a blockaded British Subject [S. L. J., i.e. Catharine Cooper Hopley]. Being a social history of those who took part in the battles, ... From the spring of 1860 to August 1862. [electronic resource]",,"London, 1863.","London, 1863.",,,,,Missing,London,London,Likely clean single place,London,Q84,London,London,,1863,Exact,1863,,,,,lsidyv2b3b7fc0 -- lsidyv2b3b0e54,opera,Music
014814352,blank,,,,,missing,,,,“A Drug in the Market”: being some of the Songs of Zion that are not wanted. Written by Jacobus.,|||,und,,,,,“A Drug in the Market”: being some of the Songs of Zion that are not wanted. Written by Jacobus. [electronic resource],,"London : Passmore & Alabaster, [1884.].","London : Passmore & Alabaster, [1884.].",Passmore & Alabaster,Passmore & Alabaster,Passmore & Alabaster,Passmore & Alabaster,Named publisher or ambiguous,London,London,Likely clean single place,London,Q84,London,London,,1884,Supplied,1884,,,,,lsidyv31459fef,song,Music
014814353,blank,,,,,missing,,,,"Songs at Sunset; or, leisure lays of a business man. Written by Jacobus.",|||,und,,,,,"Songs at Sunset; or, leisure lays of a business man. Written by Jacobus. [electronic resource]",,"London : Passmore & Alabaster, [1886.].","London : Passmore & Alabaster, [1886.].",Passmore & Alabaster,Passmore & Alabaster,Passmore & Alabaster,Passmore & Alabaster,Named publisher or ambiguous,London,London,Likely clean single place,London,Q84,London,London,,1886,Supplied,1886,,,,,lsidyv34756d23,song,Music
014814577,blank,,,single or unclear,"GOLDWIN, William.",missing,,,,An Hymn to the Redeemer. [By William Goldwin.],|||,und,,,,,An Hymn to the Redeemer. [By William Goldwin.] [electronic resource],,"London : Printed, and are to be sold by J. Morphew, 1713.","London : Printed, and are to be sold by J. Morphew, 1713.","Printed, and are to be sold by J. Morphew","Printed, and are to be sold by J. Morphew","Printed, and are to be sold by J. Morphew","Printed, and are to be sold by J. Morphew",Printer statement,London,London,Likely clean single place,London,Q84,London,London,,1713,Exact,1713,,Jesus Christ.,"GOLDWIN, William.",,lsidyv34587795,hymn,Music
014814617,none,,,single or unclear,"CARAVITA, Giuseppe.",unchanged,,,"JODRELL, Richard Paul.",L'Eroina Persiana. Opera dalla tragedia di R. P. Jodrell ... tirata dall'autore. [Translated into Italian by G. Caravita.],|||,und,,,"JODRELL, Richard Paul.",,L'Eroina Persiana. Opera dalla tragedia di R. P. Jodrell ... tirata dall'autore. [Translated into Italian by G. Caravita.] [electronic resource],,"Londra : A spese dell’autore, 1821.","Londra : A spese dell’autore, 1821.",A spese dell’autore,A spese dell’autore,A spese dell’autore,A spese dell’autore,Named publisher or ambiguous,Londra,Londra,Likely clean single place,Londra,,Londra,Londra,,1821,Exact,1821,,,"CARAVITA, Giuseppe.",,lsidyv342a6003,opera,Music
014814624,blank,,,,,missing,,,,Illustrated Songs and Hymns for the Little Ones. Compiled by Uncle John.,|||,und,,,,,Illustrated Songs and Hymns for the Little Ones. Compiled by Uncle John. [electronic resource],,"London, [1859.]","London, [1859.]",,,,,Missing,London,London,Likely clean single place,London,Q84,London,London,,1859,Supplied,1859,,,,,lsidyv3471f932,hymn,Music
014814632,none,,,,,unchanged,,,"JOHNSON, Charles, Dramatic Writer.","The Village Opera [in three acts, in prose; with songs] ... To which is added the musick to each song.",|||,und,,,"JOHNSON, Charles, Dramatic Writer.",,"The Village Opera [in three acts, in prose; with songs] ... To which is added the musick to each song. [electronic resource]",,"London, 1729.","London, 1729.",,,,,Missing,London,London,Likely clean single place,London,Q84,London,London,,1729,Exact,1729,,,,,lsidyv3ab88961,opera,Music
014814671,none,,,,,unchanged,,,"JOHNSTON, Arthur.","Narrative of the operations of a detachment in an expedition to Candy, in the island of Ceylon, in ... 1804, etc.",|||,eng,,,"JOHNSTON, Arthur.",,"Narrative of the operations of a detachment in an expedition to Candy, in the island of Ceylon, in ... 1804, etc. [electronic resource]",,"London, 1810.","London, 1810.",,,,,Missing,London,London,Likely clean single place,London,Q84,London,London,,1810,Exact,1810,,,,,lsidyv30ae160c,opera,Music
014814679,none,,,,,unchanged,,,"Johnston, John, M.D.",Musa Medica: a sheaf of song and verse.,|||,und,,,"Johnston, John, M.D.",,Musa Medica: a sheaf of song and verse. [electronic resource],,"London : Savoy Press, 1897.","London : Savoy Press, 1897.",Savoy Press,Savoy Press,Savoy Press,Savoy Press,Named publisher or ambiguous,London,London,Likely clean single place,London,Q84,London,London,,1897,Exact,1897,,,,,lsidyv347228e5,song,Music
014814754,matched,William Jones,Q273969,,,standardised,1794,1746,"Jones, William, Sir","The Hindu Wife and the Hymns by Sir W. J. ... Second edition, etc.",|||,und,,,"Jones, William, Sir, 1746-1794.",,"The Hindu Wife and the Hymns by Sir W. J. ... Second edition, etc. [electronic resource]",,"Calcutta : J. Ghose, 1881.","Calcutta : J. Ghose, 1881.",J. Ghose,J. Ghose,J. Ghose,J. Ghose,Named publisher or ambiguous,Calcutta,Calcutta,Likely clean single place,Calcutta,,Calcutta,Calcutta,,1881,Exact,1881,,,,,lsidyv34750435,hymn,Music
014814845,unreconciled,,,,,unchanged,,,"KEANE, Henry, Novelist.",The Faded Poppy. A fragment of Philistine melodrama. [A novel.],|||,und,,,"KEANE, Henry, Novelist.",,The Faded Poppy. A fragment of Philistine melodrama. [A novel.] [electronic resource],,"London : Hodder Bros., 1895.","London : Hodder Bros., 1895.",Hodder Bros.,Hodder Bros.,Hodder Bros.,Hodder Bros.,Named publisher or ambiguous,London,London,Likely clean single place,London,Q84,London,London,,1895,Exact,1895,,,,,lsidyv3a52e16d,melody,Music
014814859,none,,,,,unchanged,,,"KEASLEY, George.",The Rev. George Keasley's Second Letter to the Editor of the “Yorkshire Gazette” [on the question of Popery].,|||,eng,,,"KEASLEY, George.",,The Rev. George Keasley's Second Letter to the Editor of the “Yorkshire Gazette” [on the question of Popery]. [electronic resource],,"Leeds : T. E. Bradley, 1851.","Leeds : T. E. Bradley, 1851.",T. E. Bradley,T. E. Bradley,T. E. Bradley,T. E. Bradley,Named publisher or ambiguous,Leeds,Leeds,Likely clean single place,Leeds,Q39121,Leeds,Leeds,,1851,Exact,1851,,,,,lsidyv3014f623,opera,Music
014814874,matched,John Keble,Q955187,multiple: dash,"Keble, John, 1792-1866 -- WARING, Eleanor.",standardised,1866,1792,"Keble, John","Keble's Evening Hymn [from the “Christian Year”], illustrated by E. Waring.",|||,und,,,"Keble, John, 1792-1866",,"Keble's Evening Hymn [from the “Christian Year”], illustrated by E. Waring. [electronic resource]",,"London, [1865.]","London, [1865.]",,,,,Missing,London,London,Likely clean single place,London,Q84,London,London,,1865,Supplied,1865,,,"Keble, John, 1792-1866 -- WARING, Eleanor.",,lsidyv3a991532,hymn,Music
014814976,none,,,,,unchanged,,,"Kenney, James.","[False Alarms; or, My Cousin, a comic opera in three acts [in prose, with songs].]",|||,und,,,"Kenney, James.",,"[False Alarms; or, My Cousin, a comic opera in three acts [in prose, with songs].] [electronic resource]",Second edition.,"London, 1807.","London, 1807.",,,,,Missing,London,London,Likely clean single place,London,Q84,London,London,,1807,Exact,1807,,,,,lsidyv3a58122d,opera,Music
014815056,matched,John Kidd,Q723419,,,standardised,1851,1775,"Kidd, John","A geological essay on the imperfect evidence in support of a theory of the Earth, deducible either from its general structure or from the changes produced on its surface by the operation of existing causes.",|||,eng,,,"Kidd, John, 1775-1851.",,"A geological essay on the imperfect evidence in support of a theory of the Earth, deducible either from its general structure or from the changes produced on its surface by the operation of existing causes. [electronic resource]",,"Oxford, 1815.","Oxford, 1815.",,,,,Missing,Oxford,Oxford,Likely clean single place,Oxford,,Oxford,Oxford,,1815,Exact,1815,,,,,lsidyv3c80356b,opera,Music
014815069,blank,,,,,missing,,,,"The King's Highway, daily texts & hymns for a month. Illustrated by F. Hines.",|||,und,,,,,"The King's Highway, daily texts & hymns for a month. Illustrated by F. Hines. [electronic resource]",,"London; Nuremberg [printed : E. Nister, 1890].","London; Nuremberg [printed : E. Nister, 1890].",E. Nister,E. Nister,E. Nister,E. Nister,Named publisher or ambiguous,London; Nuremberg [printed,London; Nuremberg,Multiple places,London; Nuremberg,,E. Nister,E. Nister,,1890,Exact,1890,,,,,lsidyv3944950e,hymn,Music
014815079,matched,Charles King,Q76167791,,,unchanged,,,"KING, Charles, General.",Trooper Ross and Vignal Butte. [A tale.],|||,und,,,"KING, Charles, General.",,Trooper Ross and Vignal Butte. [A tale.] [electronic resource],,"London; Philadelphia printed : J. B. Lippincott Co., 1896.","London; Philadelphia printed : J. B. Lippincott Co., 1896.",J. B. Lippincott Co.,J. B. Lippincott Co.,J. B. Lippincott Co.,J. B. Lippincott Co.,Named publisher or ambiguous,London; Philadelphia printed,London; Philadelphia,Multiple places,London; Philadelphia,,J. B. Lippincott Co.,J. B. Lippincott Co.,,1896,Exact,1896,,,,,lsidyv3a0650ee,opera,Music
