Aleph system no.,Country code,Language code (008),Language code (041),DDC,Personal author,Author_review_status,Author_birth_year,Author_death_year,Author_name_clean,Author_reconciliation_status,Author_Wikidata_label,Author_Wikidata_QID,Corporate author,Title,Title_clean,Edition,Imprint,Series,Subjects,Other personal authors,Other_personal_authors_clean,Other_authors_structure,Other corporate authors,DOM ID,Type,Genre
014862178,|||,eng,,,"PETHERBRIDGE, N. J.",unchanged,,,"PETHERBRIDGE, N. J.",none,,,,Songs and Poems. [electronic resource],Songs and Poems.,,"Kingston-upon-Thames : R. Clarke, 1874.",,,,,,,lsidyv363bec82,song,Music
014862391,|||,eng,,,"STRATTON, Eugene.",unchanged,,,"STRATTON, Eugene.",unreconciled,,,,Eugene Stratton. The dandy coloured coon. Song book. [electronic resource],Eugene Stratton. The dandy coloured coon. Song book.,,"London : E. Stratton, [1896.].",,,,,,,lsidyv363c1038,song,Music
014862482,|||,eng,,,"Watson, William, 1858-1935.",standardised,1858,1935,William Watson,matched,William Watson,Q462269,,Hymn to the Sea. [electronic resource],Hymn to the Sea.,,"New York : J. Lane, 1895.",,,,,,,lsidyv363bf900,hymn,Music
014866361,|||,eng,,,"BATE, Henry, Rev., afterwards DUDLEY (Sir Henry Bate) Rev., Bart.",unchanged,,,"BATE, Henry, Rev., afterwards DUDLEY (Sir Henry Bate) Rev., Bart.",unreconciled,,,,"The Travellers in Switzerland. A comic opera, in three acts, etc. [electronic resource]","The Travellers in Switzerland. A comic opera, in three acts, etc.",,"London : J. Debrett, 1794.",,,,,,,lsidyv3679a30a,opera,Music
014866416,|||,ger,,,"BIRNBAUM, Johann von.",unchanged,,,Johann Birnbaum,matched,Johann Birnbaum,Q97359,,"Geschichte der Stadt und Bundesfestung Landau, mit dazu gehörigen Belegen. Zweite ... Ausgabe, etc. [With “Successio conjugum consuetudinaria ... Brevissime conscripta ... studio et opera Joannis Jacobi Schattenmanni.”] [electronic resource]","Geschichte der Stadt und Bundesfestung Landau, mit dazu gehörigen Belegen. Zweite ... Ausgabe, etc. [With “Successio conjugum consuetudinaria ... Brevissime conscripta ... studio et opera Joannis Jacobi Schattenmanni.”]",,"Kaiserslautern, 1830.",,,"SCHATTENMANN, Johann Jacob.","SCHATTENMANN, Johann Jacob.",single or unclear,,lsidyv36878dc3,opera,Music
014866635,|||,eng,,,,missing,,,,blank,,,,"Songs, Duets, Trios, etc. in the Duenna; or, Double Elopement [by R. B. Sheridan.]. Sixth edition. [electronic resource]","Songs, Duets, Trios, etc. in the Duenna; or, Double Elopement [by R. B. Sheridan.]. Sixth edition.",,"London, 1775.",,,"Sheridan, Richard Brinsley, 1751-1816.","Sheridan, Richard Brinsley, 1751-1816.",single or unclear,,lsidyv3679bec1,song,Music
014866790,|||,ita,,,"GIURIA, Juan.",unchanged,,,Juan Giuria,matched,Juan Giuria,Q1090223,,"La Spagna, opera storica, artistica, pittoresca e monumentale, compilata dal Cavaliere P. G. sulle migliore opere, e specialmente su quella recentissima di M. de Cuendias e V. de Féréal, etc. [With plates.] [electronic resource]","La Spagna, opera storica, artistica, pittoresca e monumentale, compilata dal Cavaliere P. G. sulle migliore opere, e specialmente su quella recentissima di M. de Cuendias e V. de Féréal, etc. [With plates.]",,"Torino, 1850-51.",,,"FÉRÉAL, Victor de, pseud. [i.e. Madame Suberwick.]. -- GALO DE CUENDIAS, Manuel, and FÉRÉAL (Victor de) pseud. [i.e. Madame Suberwick.].","FÉRÉAL, Victor de, pseud. [i.e. Madame Suberwick.]. -- GALO DE CUENDIAS, Manuel, and FÉRÉAL (Victor de) pseud. [i.e. Madame Suberwick.].",multiple: dash + and,,lsidyv3dcf5eaa,opera,Music
014867280,|||,eng,,,,missing,,,,blank,,,,"The Milesian, a comic opera in two acts [and in prose, by I. Jackman]. [electronic resource]","The Milesian, a comic opera in two acts [and in prose, by I. Jackman].",,"London, 1777.",,,,,,,lsidyv367a27bb,opera,Music
014867555,|||,eng,,,"SALMON, Arthur Leslie.",unchanged,,,Arthur Leslie Salmon,matched,Arthur Leslie Salmon,Q27891024,,Noon-Song. [A poem.] [electronic resource],Noon-Song. [A poem.],,"London : Castell Brothers, 1887.",,,,,,,lsidyv3689ce21,song,Music
014867564,|||,ger,,,,missing,,,,blank,,,,"Von der Weichsel zum Dnjepr. Geographische, kriegsgeschichtliche und operative Studie von Sarmaticus. [electronic resource]","Von der Weichsel zum Dnjepr. Geographische, kriegsgeschichtliche und operative Studie von Sarmaticus.",,"Hannover, 1886.",,,,,,,lsidyv36abd9d3,opera,Music
014871689,|||,eng,,,"FENN, Thomas Edward.",unchanged,,,"FENN, Thomas Edward.",none,,,,"How I volunteered for 'the Cape,' and what I did there. Being a short history of eight months' service with the Frontier Light Horse operating against the Kafirs, etc. [electronic resource]","How I volunteered for 'the Cape,' and what I did there. Being a short history of eight months' service with the Frontier Light Horse operating against the Kafirs, etc.",,"London : S. Tinsley & Co., 1879 (Guildford [printed])",,,,,,,lsidyv374a37dd,opera,Music
