Aleph system no.,Country code,Language code (008),Language code (041),Imprint,Imprint_clean,Publisher_clean,Publisher_role,Publication_place_final,Place_QA_status,Wikidata_QID_manual_sample,Year_end,Year_start,Year_status,Publication_year,DOM ID
14616667,|||,und,,"London : W. Glendinning, 1815.","London : W. Glendinning, 1815.",W. Glendinning,Named publisher or ambiguous,London,Likely clean single place,Q84,,1815,Exact,1815,lsidyv3493a986
14616668,|||,und,,"London : W. Glendinning, 1815.","London : W. Glendinning, 1815.",W. Glendinning,Named publisher or ambiguous,London,Likely clean single place,Q84,,1815,Exact,1815,lsidyv3493a6b7
14616669,|||,und,,"London : Appleyards, [1808.].","London : Appleyards, [1808.].",Appleyards,Named publisher or ambiguous,London,Likely clean single place,Q84,,1808,Supplied,1808,lsidyv34ebe74b
14616670,|||,und,,"London : Barker & Son, 1804.","London : Barker & Son, 1804.",Barker & Son,Named publisher or ambiguous,London,Likely clean single place,Q84,,1804,Exact,1804,lsidyv3493a5d6
14616671,|||,und,,"London : Barker & Son, 1802.","London : Barker & Son, 1802.",Barker & Son,Named publisher or ambiguous,London,Likely clean single place,Q84,,1802,Exact,1802,lsidyv3493a330
14616672,|||,und,,"London : J. Hartnell, 1810.","London : J. Hartnell, 1810.",J. Hartnell,Named publisher or ambiguous,London,Likely clean single place,Q84,,1810,Exact,1810,lsidyv34ebe868
14616677,|||,und,,"London : Barker & Son, 1805.","London : Barker & Son, 1805.",Barker & Son,Named publisher or ambiguous,London,Likely clean single place,Q84,,1805,Exact,1805,lsidyv34ebf48d
14616689,|||,und,,"London, [1820?]","London, [1820?]",,Missing,London,Likely clean single place,Q84,,1820,Uncertain,1820,lsidyv3493ae15
14616697,|||,und,,,,,Missing,,Missing,,,,Missing,,lsidyv3493fe69
14616698,|||,und,,"London, [1859.]","London, [1859.]",,Missing,London,Likely clean single place,Q84,,1859,Supplied,1859,lsidyv3493af26
14616701,|||,und,,"London, [1864.]","London, [1864.]",,Missing,London,Likely clean single place,Q84,,1864,Supplied,1864,lsidyv34990e24
14616702,|||,und,,"London : Marshall & Co., [1886.].","London : Marshall & Co., [1886.].",Marshall & Co.,Named publisher or ambiguous,London,Likely clean single place,Q84,,1886,Supplied,1886,lsidyv3492e4f2
14616703,|||,und,,"E. Nister: London; Nuremberg printed, [1891.]","E. Nister : London; Nuremberg printed, [1891.]",London; Nuremberg printed,Printer statement,E. Nister,Likely clean single place,,,1891,Supplied,1891,lsidyv34732652
14616709,|||,und,,[1896?],[1896?],,Missing,,Missing,,,1896,Uncertain,1896,lsidyv3471f3d4
14616715,|||,und,,"London, 1815.","London, 1815.",,Missing,London,Likely clean single place,Q84,,1815,Exact,1815,lsidyv3493b154
14616726,|||,und,,"pp. 93. Kegan Paul & Co.: London, 1900.","pp. 93. Kegan Paul & Co. : London, 1900.",London,Named publisher or ambiguous,pp. 93. Kegan Paul & Co.,Multiple places,,,1900,Exact,1900,lsidyv3494eb2b
14616728,|||,und,,"[London : Metzler & Co., 1878.].","[London : Metzler & Co., 1878.].",Metzler & Co.,Named publisher or ambiguous,London,Likely clean single place,Q84,,1878,Exact,1878,lsidyv3492eabf
14616729,|||,und,,"London : Chappell & Co., [1878.].","London : Chappell & Co., [1878.].",Chappell & Co.,Named publisher or ambiguous,London,Likely clean single place,Q84,,1878,Supplied,1878,lsidyv34ebbd08
14616730,|||,und,,"London : Chappell & Co., [1882?].","London : Chappell & Co., [1882?].",Chappell & Co.,Named publisher or ambiguous,London,Likely clean single place,Q84,,1882,Uncertain,1882,lsidyv34ecb863
14616731,|||,und,,"London : Chappell & Co., [1891.].","London : Chappell & Co., [1891.].",Chappell & Co.,Named publisher or ambiguous,London,Likely clean single place,Q84,,1891,Supplied,1891,lsidyv34ebc257
14616736,|||,und,,"London, 1813.","London, 1813.",,Missing,London,Likely clean single place,Q84,,1813,Exact,1813,lsidyv34ebff9c
14616744,|||,und,,"London; Nuremberg printed : E. Nister, [1888.].","London; Nuremberg printed : E. Nister, [1888.].",E. Nister,Named publisher or ambiguous,London; Nuremberg,Multiple places,,,1888,Supplied,1888,lsidyv34757ce7
14616749,|||,und,,"Sydenham, 1877.","Sydenham, 1877.",,Missing,Sydenham,Likely clean single place,,,1877,Exact,1877,lsidyv34af832c
14616751,|||,und,,"London : Chappell & Co., 1892.","London : Chappell & Co., 1892.",Chappell & Co.,Named publisher or ambiguous,London,Likely clean single place,Q84,,1892,Exact,1892,lsidyv34ebc63e
14616752,|||,und,,"London : J. Williams, [1893.].","London : J. Williams, [1893.].",J. Williams,Named publisher or ambiguous,London,Likely clean single place,Q84,,1893,Supplied,1893,lsidyv34ebc914
14616753,|||,und,,"London, 1815.","London, 1815.",,Missing,London,Likely clean single place,Q84,,1815,Exact,1815,lsidyv3493b07f
14616765,|||,und,,"London, 1746.","London, 1746.",,Missing,London,Likely clean single place,Q84,,1746,Exact,1746,lsidyv34934f1f
14616783,|||,und,,"pp. viii. 24. D. Nutt: London, 1900.","pp. viii. 24. D. Nutt : London, 1900.",London,Named publisher or ambiguous,pp. viii. 24. D. Nutt,Likely clean single place,,,1900,Exact,1900,lsidyv3477cefc
14616785,|||,und,,"Glasgow : J. MacLehose & Sons, 1897.","Glasgow : J. MacLehose & Sons, 1897.",J. MacLehose & Sons,Named publisher or ambiguous,Glasgow,Likely clean single place,Q4093,,1897,Exact,1897,lsidyv3509d18a
14616798,|||,und,,"London, 1806.","London, 1806.",,Missing,London,Likely clean single place,Q84,,1806,Exact,1806,lsidyv3493b721
14616833,|||,und,,"London, 1865.","London, 1865.",,Missing,London,Likely clean single place,Q84,,1865,Exact,1865,lsidyv3498d22a
14616836,|||,und,,"G. J. Parris, steam printer : London, [1886?].","G. J. Parris, steam printer : London, [1886?].",G. J. Parris,Printer statement,London,Review: imprint statement,,,1886,Uncertain,1886,lsidyv34ebb64e
14616838,|||,und,,"London, 1782.","London, 1782.",,Missing,London,Likely clean single place,Q84,,1782,Exact,1782,lsidyv34ec8d20
14616840,|||,und,,[1897.],[1897.],,Missing,,Missing,,,1897,Supplied,1897,lsidyv3470cb04
14616846,|||,und,,"London : John Miller, 1815.","London : John Miller, 1815.",John Miller,Named publisher or ambiguous,London,Likely clean single place,Q84,,1815,Exact,1815,lsidyv34ec0c02
14616856,|||,und,,"pp. 144. J. McKelvie & Sons: Greenock, 1895.","pp. 144. J. McKelvie & Sons : Greenock, 1895.",Greenock,Named publisher or ambiguous,pp. 144. J. McKelvie & Sons,Multiple places,,,1895,Exact,1895,lsidyv347743c5
14616857,|||,und,,"pp. 48. Swan Sonneschein & Co.: London, 1893.","pp. 48. Swan Sonneschein & Co. : London, 1893.",London,Named publisher or ambiguous,pp. 48. Swan Sonneschein & Co.,Multiple places,,,1893,Exact,1893,lsidyv3494e44b
14616864,|||,und,,"Harrow : J. C. Wilbee, [1882.].","Harrow : J. C. Wilbee, [1882.].",J. C. Wilbee,Named publisher or ambiguous,Harrow,Likely clean single place,,,1882,Supplied,1882,lsidyv34ec54e4
14616873,|||,und,,"Firenze, 1894.","Firenze, 1894.",,Missing,Firenze,Likely clean single place,,,1894,Exact,1894,lsidyv34fad8dc
14616881,|||,und,,"Sheffield, [1802?]","Sheffield, [1802?]",,Missing,Sheffield,Likely clean single place,,,1802,Uncertain,1802,lsidyv3493be5c
14616883,|||,und,,"London, 1878.","London, 1878.",,Missing,London,Likely clean single place,Q84,,1878,Exact,1878,lsidyv347a0235
14616890,|||,und,,"London : Music-Publishing Co., [1895.].","London : Music-Publishing Co., [1895.].",Music-Publishing Co.,Named publisher or ambiguous,London,Likely clean single place,Q84,,1895,Supplied,1895,lsidyv350c0c66
14616900,|||,und,,"Calcutta : S. C. Beed, [1890?].","Calcutta : S. C. Beed, [1890?].",S. C. Beed,Named publisher or ambiguous,Calcutta,Likely clean single place,,,1890,Uncertain,1890,lsidyv34ebb73b
14616905,|||,und,,"London, 1812.","London, 1812.",,Missing,London,Likely clean single place,Q84,,1812,Exact,1812,lsidyv3493c3b7 -- lsidyv34ecbd85
